f_GHz,mu,epsilon
25.41,76620723.3965924-35039569.0624378i,1.49995880613829+0.685412309380291i
25.465,69593779.9570163-41141846.5983249i,1.47338980119192+0.870277244467583i
25.52,72849467.8432191-33078245.5562757i,1.56790161420191+0.711241973443469i
25.575,75182384.538669-35195315.820264i,1.49666662551254+0.700000038088016i
25.63,71724873.8362817-38593285.5183877i,1.47694226376471+0.793859911363773i
25.685,72865998.1699743-29486624.4947265i,1.60381964993887+0.648286215704668i
25.74,76100006.8532945-25187508.1481821i,1.60378057362444+0.530265771023141i
25.795,72344295.4386537-39154267.8954879i,1.44175035947533+0.779674081703982i
25.85,68175689.7877461-38010346.7907089i,1.50257337879658+0.837054532479277i
25.905,74553059.357269-29952219.8316212i,1.54414770137742+0.619795526618534i
25.96,74911607.3324597-39494823.1711001i,1.39080899920991+0.732628523120147i
26.015,70066515.8017392-37872810.4135528i,1.46444140136214+0.79077182928965i
26.07,70334687.4495519-34521346.2739957i,1.5126459843599+0.741670440486962i
26.125,73261161.4293802-29277931.3928898i,1.54728495255718+0.617779187433604i
26.18,67669990.6079527-40653440.3991956i,1.42161366305356+0.853429196677619i
26.235,69494984.5993692-35416785.6882175i,1.48918045506732+0.758269604118577i
26.29,73690120.1372561-35020072.4629333i,1.43713707820167+0.682403336594341i
26.345,70632996.9539076-37581262.7322386i,1.42654464194332+0.758423075265582i
26.4,68282562.168852-44212205.2707853i,1.32868856621203+0.859479407565809i
26.455,63239369.0134654-38132659.0263444i,1.48685007941617+0.895688575690238i
26.51,67462860.6079413-30697426.3340031i,1.56784941562394+0.712840585113029i
26.565,70745929.6141394-34869066.4070355i,1.44602220331419+0.712109002318904i
26.62,64126401.6852604-39529601.4401204i,1.43094929766535+0.881386209428224i
26.675,65495497.2144374-34285111.9677304i,1.51122422836476+0.790540720884874i
26.73,72640585.5470097-36671994.4237009i,1.37775653435859+0.695026708826527i
26.785,58298984.5620906-52008382.6483047i,1.19488158990993+1.06500648633197i
26.84,57203337.4359455-38380199.6671374i,1.50158417871266+1.00669233686871i
26.895,70991054.8267443-27964633.2470838i,1.5126040251385+0.595285592975205i
26.95,64476529.7593101-35703036.1144506i,1.46650020923695+0.811383741749841i
27.005,64048195.6524742-29272220.3636346i,1.58908798650466+0.725719170635702i
27.06,70505015.1688248-30821745.3063515i,1.45918249626324+0.637373552390685i
27.115,94485446.1582645+50367608.115316i,1.00555120594169-0.536404766716651i
27.17,88605181.2263002+61043553.5792981i,0.929957951315879-0.64113827747019i
27.225,57325199.8583022-42136490.9140422i,1.3712582727121+1.00710885556148i
27.28,99401981.7658202+52823008.7172475i,0.945532442658289-0.502913083879616i
27.335,101384513.778525+52666903.9436769i,0.932470568600144-0.484767959443344i
27.39,100222663.851972+48555853.5271626i,0.96625111573778-0.468528571995858i
27.445,101947822.264689+47188035.1564898i,0.962054573039831-0.445712385988887i
27.5,103930153.940828+47439670.1037555i,0.944551486374639-0.431461954558802i
27.555,94886875.4600632+60457222.9469048i,0.885610371197047-0.564630846884007i
27.61,91178442.585905+80564069.2382254i,0.724601671962175-0.640786241675439i
27.665,111652830.383146+71027789.1703116i,0.74724751465082-0.475691905202211i
27.72,110440280.753034+49135491.5880735i,0.882438000078976-0.392871270633373i
27.775,104382899.306834+56361557.1493081i,0.862496352496767-0.466087438388584i
27.83,112704448.264967+54627276.8215225i,0.832149340571449-0.403658194608873i
27.885,108232614.066245+39563420.0037582i,0.940345309238494-0.343970879982457i
27.94,101315861.461581+59336924.0148487i,0.844561909041512-0.494943460036988i
27.995,94268584.5177502+83700974.1494925i,0.67883217068369-0.6031911779023i
28.05,117127684.707675+80427556.6862507i,0.6614409772068-0.454504371550345i
28.105,114389985.48968+55387775.3207713i,0.804287285524689-0.389704904301149i
28.16,109893753.407061+78698211.1908298i,0.680373330140909-0.487583339359803i
28.215,125103760.314658+57293865.1119454i,0.744572551494825-0.341252273301472i
28.27,112630972.049759+36713269.8867755i,0.900941813963785-0.293903934204822i
28.325,112988446.567948+56807492.649974i,0.78995440538142-0.397417948732644i
28.38,112034496.435716+70315705.1901021i,0.713201753126632-0.447925001384664i
28.435,125549461.099153+77299377.5540447i,0.640773751854352-0.394775094661589i
28.49,129453256.562486+69501278.66198i,0.662743242818581-0.356024029981186i
28.545,121681479.04487+84075920.959503i,0.612359513279769-0.423397689294845i
28.6,130519709.009509+43158554.5571855i,0.757514286662995-0.250697767084018i
28.655,120265627.941988+38475546.4157184i,0.824160684149123-0.263905573837335i
28.71,119804563.175046+36745425.0924531i,0.830426819708773-0.254865454900235i
28.765,122222513.129554+66802580.4638257i,0.68307109340131-0.373539410427818i
28.82,140788553.898197+82656799.0520644i,0.570512241543255-0.335125616613053i
28.875,130051220.088142+70755695.4740834i,0.638394779891563-0.347526264732937i
28.93,129130387.096161+77159061.6948531i,0.611667887155265-0.365727158648531i
28.985,132469624.649917+59625432.0179731i,0.670303118579082-0.301931106193879i
